Category,Title,Kids Abstract,Abstract (Original academic paper),URL (Original academic paper),Reading Levels
Biodiversity-And-Conservation Articles,Are poachers rhinos only problem,"Rhinos dont have it easy these days. Usually, they roam Two rhino species live in Kruger Park - white and black large areas in Africa and Eurasia. Now they occur almost only rhino. One curious finding is that each of them suffers from in protected areas due to poaching (forbidden hunting) and the drought in a different way - due to the different food destruction of their habitats. We had a close look at Kruger they eat. So keeping the poachers away is not enough to National Park in South Africa where many rhinos live. We conserve the rhinos. We also have to understand the effect found they face two problems: illegal hunters and droughts. of the climate.","Unrelenting poaching to feed the illegal trafficking of rhinoceros (rhino) horn remains the principle threat to the persistence of south-central black and southern white rhino that live in the Kruger National Park (Kruger), South Africa. Other global environmental change drivers, such as unpredictable climatic conditions, impose additional uncertainties on the management and persistence of these species. The drought experienced in Kruger over the 2015/2016 rainy season may have affected rhino population growth and thus added an additional population pressure to the poaching pressure already occurring. Under drought conditions, reduced grass biomass predicts increased natural deaths and a subsequent decrease in birth rate for the grazing white rhino. Such variance in natural death and birth rates for the browsing black rhino are not expected under these conditions. We evaluated these predictions using rhino population survey data from 2013 to 2017. Comparisons of natural deaths and birth rates between pre- (2013/2014 and 2014/15), during- (2015/2016) and post-drought (2016/2017) periods in Kruger showed increased natural mortality and decreased births for white rhino, but no significant changes for black rhino, supporting our predictions. As a result, despite reduced poaching rates, the total mortality rate of white rhino remains significantly higher than the birth rate. Decreased poaching, decreased natural deaths and no apparent drought effects in black rhino resulted in a lower total mortality rate than the estimated birth rate in 2017. Active biological management and traditional anti-poaching initiatives together therefore represent the most likely way to buffer the impacts of decreased population growth through climate change and wildlife crime on the persistence of rhinos.",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0209678,Elementary school; Lower high school; Middle school
Biodiversity-And-Conservation Articles; Biology Articles,Can microbes make fruit flies stronger,"Have you ever thought of yourself as an ecosystem? Or Humans are not unique in having microbiomes! Insects - like even, a planet, hosting trillions of inhabitants! If not, get fruit flies - also host microbial communities. We examined used to the fact that you are one! Each and every one of the microbiomes of different fruit fly populations originating us provides a home for millions of microbes that live inside from six different places across Europe. We showed that our body, and on our skin. Some of these tiny creatures just their microbiomes were different, even though all flies had use us as their living space, without affecting us. Some do eaten the same food over the past four years. We also us harm. Many, however, benefit us immensely. They help examined the effect of microbes on fruit fly resistance to us digest food and fight off diseases, and might even be parasite attack. In some populations we found evidence important in keeping our brains healthy. The community of for this, but for other populations we did not find a clear microbes in our body is called our microbiome. connection.","In Drosophila, diet is considered a prominent factor shaping the associated bacterial community. However, the host population background (e.g. genotype, geographical origin and founder effects) is a factor that may also exert a significant influence and is often overlooked. To test for population background effects, we characterized the bacterial communities in larvae of six genetically differentiated and geographically distant D. melanogaster lines collected from natural populations across Europe. The diet for these six lines had been identical for ca. 50 generations, thus any differences in the composition of the microbiome originates from the host populations. We also investigated whether induced shifts in the microbiomein this case by controlled antibiotic administrationalters the hosts resistance to parasitism. Our data revealed a clear signature of population background on the diversity and composition of D. melanogaster microbiome that differed across lines, even after hosts had been maintained at the same diet and laboratory conditions for over 4 years. In particular, the number of bacterial OTUs per line ranged from 8 to 39 OTUs. Each line harboured 2 to 28 unique OTUs, and OTUs that were highly abundant in some lines were entirely missing in others. Moreover, we found that the response to antibiotic treatment differed among the lines and significantly altered the host resistance to the parasitoid Asobara tabida in one of the six lines. Wolbachia, a widespread intracellular endosymbiont associated with parasitoid resistance, was lacking in this line, suggesting that other components of the Drosophila microbiome caused a change in host resistance. Collectively, our results revealed that lines that originate from different population backgrounds show significant differences in the established Drosophila microbiome, outpacing the long-term effect of diet. Perturbations on these naturally assembled microbiomes to some degree influenced the hosts resistance against natural parasites.",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0167726,Lower high school; Middle school
Biodiversity-And-Conservation Articles,Can we save rhinos from extinction,"In the past decade, poachers have increasingly hunted and this endangered species. We found that there is a way to killed South African white rhinoceroses, despite efforts to save rhinos from extinction but it requires combating the protect them. If the killing continues at this rate, these international mafias that buy and sell rhino horns as well rhinos will soon go extinct. We created a model that took as developing legal job opportunities for people currently both human actions and rhino survival in the wild into living in poverty near rhinos, so they dont have to resort to account in order to test which scenarios resulted in saving poaching for money.","The onslaught on the Worlds wildlife continues despite numerous initiatives aimed at curbing it. We build a model that integrates rhino horn trade with rhino population dynamics in order to evaluate the impact of various management policies on rhino sustainability. In our model, an agent-based sub-model of horn trade from the poaching event up through a purchase of rhino horn in Asia impacts rhino abundance. A data-validated, individual-based sub-model of the rhino population of South Africa provides these abundance values. We evaluate policies that consist of different combinations of legal trade initiatives, demand reduction marketing campaigns, increased anti-poaching measures within protected areas, and transnational policing initiatives aimed at disrupting those criminal syndicates engaged in horn trafficking. Simulation runs of our model over the next 35 years produces a sustainable rhino population under only one management policy. This policy includes both a transnational policing effort aimed at dismantling those criminal networks engaged in rhino horn traffickingcoupled with increases in legal economic opportunities for people living next to protected areas where rhinos live. This multi-faceted approach should be the focus of the international debate on strategies to combat the current slaughter of rhino rather than the binary debate about whether rhino horn trade should be legalized. This approach to the evaluation of wildlife management policies may be useful to apply to other species threatened by wildlife trafficking.",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0167040,Lower high school; Upper high school
Biodiversity-And-Conservation Articles; Energy-And-Climate Articles; Water-Resources Articles,Could this be a concrete solution to biodiversity loss,"Did you know that in some parts of the world, we have for marine organisms. replaced over half of our natural shorelines with man-made We wanted to find out what effect creating artificial rock coastal defences? pools on these structures would have. Would it help to attract This is important because these structures arent usually as more species? Did the pools need to be a particular size good at supporting a wide range of different species (we call or at a particular shore height to work well? Was exposure this biodiversity) as natural rocky shores. The reason for this to wave action important? We set out to find the answers is that artificial structures lack important habitats like rock to these questions to help engineers and coastal managers pools, pits and crevices that trap water and provide shelter increase biodiversity on their man-made coastlines.","In coastal habitats artificial structures typically support lower biodiversity and can support greater numbers of non-native and opportunistic species than natural rocky reefs. Eco-engineering experiments are typically trialed to succeed; but arguably as much is learnt from failure than from success. Our goal was to trial a generic, cost effective, eco-engineering technique that could be incorporated into rock armouring anywhere in the world. Artificial rock pools were created from manipulated concrete between boulders on the exposed and sheltered sides of a causeway. Experimental treatments were installed in locations where they were expected to fail and compared to controls installed in locations in which they were expected to succeed. Control pools were created lower on the structure where they were immersed on every tidal cycle; experimental pools were created above mean high water spring tide which were only immersed on spring tides. We hypothesised that lower and exposed pools would support significantly higher taxon and functional diversity than upper and sheltered pools. The concrete pools survived the severe winter storms of 2013/14. After 12 months, non-destructive sampling revealed significantly higher mean taxon and functional richness in lower pools than upper pools on the exposed side only. After 24 months the sheltered pools had become inundated with sediments, thus failing to function as rock pools as intended. Destructive sampling on the exposed side revealed significantly higher mean functional richness in lower than upper pools. However, a surprisingly high number of taxa colonised the upper pools leading to no significant difference in mean taxon richness among shore heights. A high number of rare taxa in the lower pools led to total taxon richness being almost twice that of upper pools. These findings highlight that even when expected to fail concrete pools supported diverse assemblages, thus representing an affordable, replicable means of enhancing biodiversity on a variety of artificial structures.",http://iopscience.iop.org/article/10.1088/1748-9326/11/9/094015/meta,Lower high school; Middle school
Biodiversity-And-Conservation Articles; Water-Resources Articles,Counting the fish catch why dont the numbers match,"Fish and marine animals like shrimp (well call them all fish This made us realize that catches peaked at a much here), are an important food source for many people in the higher amount than the officially reported figures. It also world. They provide vital nutrients to people with poor diets. showed us that they are now declining much faster than people thought. There are various large and small-scale fisheries. Some people sell their catches, while others catch fish for their We need to check on fisheries better so that we have more families to eat. In order to know the total amount caught, accurate data. This will help us to be able to make the right we need accurate data on all fisheries catches. decisions to protect global fish stocks. We carried out a data collection project to calculate total catches from all marine fisheries in the world from to .We carried out a data collection project to calculate total catches from all marine fisheries in the world from 1950 to 2010. This made us realize that catches peaked at a much higher amount than the officially reported figures. It also showed us that they are now declining much faster than people thought. We need to check on fisheries better so that we have more accurate data. This will help us to be able to make the right decisions to protect global fish stocks.","Here we reply to a commentary by Ye et al. (Mar. Policy 2017; Ye et al.) on our article (Pauly and Zeller, 2017 [2]) commenting on FAO's interpretation of current fisheries trends in SOFIA 2016 (The State of World Fisheries and Aquaculture). We show how arguments such as FAO's catch statistics being the best they can possibly be, and other manifestations of FAO's difficulties in constructively engaging with comments compromises FAO's stated goal to engage with academia and civil society. This is particularly serious in an age where the value of an open scientific discourse is increasingly under threat, as is the food security of many poor countries in which fish supplied by domestic fisheries constitutes a strong component of local diets.",https://www.nature.com/articles/ncomms10244,Elementary school; Lower high school; Middle school; Upper high school
Biodiversity-And-Conservation Articles; Energy-And-Climate Articles,Do bats benefit from wildfires,"Did you know that there are more than 1,000 species of bats? Theyre also the only mammals that can fly! These amazing animals are well adapted to life in the forest, but what happens when wildfires hit their homes? We wanted to find out how wildfires in the Sierra Nevada Mountains of California affect bats. We looked at three different areas where there have been large fires and counted how many species of bat we found in those areas. We also looked at how different levels of fire severity affected bats.Our results showed that wildfires are beneficial to bats. This is mainly because fires make forests less cluttered, which makes it easier for bats to find food and roosting spots. Instead of preventing all fires, we should manage some fires burning far from people so that there is a mix of severities and bat habitats. This would help bats and also reduce the risk of out-of-control megafires happening in the future!","Wildfire is an important ecological process that influences species occurrence and biodiversity generally. Its effect on bats is understudied, creating challenges for habitat management and species conservation as threats to the taxa worsen globally and within fire-prone ecosystems. We conducted acoustic surveys of wildfire areas during 20142017 in conifer forests of Californias Sierra Nevada Mountains. We tested effects of burn severity and its variation, or pyrodiversity, on occupancy and diversity for the 17-species bat community while accounting for imperfect detection. Occupancy rates increased with severity for at least 6 species and with pyrodiversity for at least 3. Two other species responded negatively to pyrodiversity. Individual species models predicted maximum occupancy rates across burn severity levels but only one species occurred most often in undisturbed areas. Species richness increased from approximately 8 species in unburned forests to 11 in pyrodiverse areas with moderate- to high-severity. Greater accessibility of foraging habitats, as well as increased habitat heterogeneity may explain positive responses to wildfire. Many bat species appear well adapted to wildfire, while a century of fire suppression and forest densification likely reduced habitat quality for the community generally. Relative to other taxa, bats may be somewhat resilient to increases in fire severity and size; trends which are expected to continue with accelerating climate change.",https://doi.org/10.1038/s41598-019-52875-2,Lower high school; Middle school
Biodiversity-And-Conservation Articles; Food-And-Agriculture Articles,Do bees get the flu,"Do bees scare you? Instead of fearing them, you should the viral load (virus concentration in the bees body) was appreciate their role in our ecosystem. In addition to low. We infected two wild bee species with high doses of providing us honey, they are responsible for pollinating viruses, and they didnt get sick immediately. This hopeful much of the food we eat. Unfortunately, wild bees and finding suggests that honey bees and wild bees can co- honey bees (Apis mellifera) are dying. Many honey bees exist even if some are infected with viruses. To be sure, die because of viruses and conservationists worry that though, we need to test if other viruses infect the many these viruses may transfer to wild bees. wild bee species that co-occur with honey bees. We tested wild bees for five common honey bee viruses. We found them in over 80% of the wild bees, yet . the viral load (virus concentration in the bees body) was  low. We infected two wild bee species with high doses of viruses, and they didnt get sick immediately. This hopeful finding suggests that honey bees and wild bees can coexist even if some are infected with viruses. To be sure, though, we need to test if other viruses infect the many  wild bee species that co-occur with honey bees","Evidence of inter-species pathogen transmission from managed to wild bees has sparked concern that emerging diseases could be causing or exacerbating wild bee declines. While some pathogens, like RNA viruses, have been found in pollen and wild bees, the threat these viruses pose to wild bees is largely unknown. Here, we tested 169 bees, representing 4 families and 8 genera, for five common honey bee (Apis mellifera) viruses, finding that more than 80% of wild bees harbored at least one virus. We also quantified virus titers in these bees, providing, for the first time, an assessment of viral load in a broad spectrum of wild bees. Although virus detection was very common, virus levels in the wild bees were minimalsimilar to or lower than foraging honey bees and substantially lower than honey bees collected from hives. Furthermore, when we experimentally inoculated adults of two different bee species (Megachile rotundata and Colletes inaequalis) with a mixture of common viruses that is lethal to honey bees, we saw no effect on short term survival. Overall, we found that honey bee RNA viruses can be commonly detected at low levels in many wild bee species, but we found no evidence that these pathogens cause elevated short-term mortality effects. However, more work on these viruses is greatly needed to assess effects on additional bee species and life stages.",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0166190,Lower high school; Upper high school
Biodiversity-And-Conservation Articles; Pollution Articles; Water-Resources Articles,Do fish have a home,"Do you have a favorite place? One that makes you feel safe fish populations from decreasing. and has everything you need to survive? Now imagine you We tracked European bass (an important fish in Europe) for are in your favorite place and a skunk wanders in. You run a year to figure out where their favorite places were. We away because you dont want to end up stinky. found that most European bass stayed close to the coastal This same thing happens to young (juvenile) fish when their sites we caught them from. Our goal is to identify more of favorite places get polluted or are not protected. Fish might these coastal sites. That way, humans can protect them, and even get caught by fishermen. A lot of fish populations are fish populations can thrive. in danger because: too many individuals are caught there arent enough safe places for juveniles to hide. If we protect their favorite places, we might be able to keep","The European bass (Dicentrarchus labrax) support high value commercial and recreational fisheries, however the Spawning Stock Biomass (SSB) of the northern Atlantic stock (ICES divisions 4.bc, 7.a, and 7.dh) has rapidly declined to an unsustainable level. The decline in SSB has been attributed to high fishing pressure combined with poor recruitment. By tracking juvenile fish their spatial ecology can be identified, and appropriate fisheries management policies designed to boost recruitment can be implemented. Using acoustic telemetry 146 sub-adult European bass (25.260 cm fork length) were tracked for up to 370 d across three sites in the southwest of the UK. Tagged fish were detected 2 724 548 times (Range: 166106 393 detections per fish). Linear modelling estimated tagged fish were resident within 2.420.1 km of the site where they were first caught for 42.9-75.5% of the year. Some fish were however resident throughout summer and winter. Individual fish were also tracked moving up to 317 km to other coastal sites, 81% of which returned to their original capture site. Fisheries management should account for the high site fidelity displayed by juveniles and sub-adults of this species and coastal nursery sites should be considered essential habitat.",https://academic.oup.com/icesjms/article/78/9/3121/6370941,Elementary school; Middle school
Biodiversity-And-Conservation Articles; Energy-And-Climate Articles,Do northern trees have cold feet about climate change,"Imagine living in an area where it starts getting uncomfortably hot. Would you and your family just pack up and move somewhere else to be more comfortable? Unlike people, trees cannot escape to other climates quickly when temperatures rise as a result of global climate change. Will they suffer when it gets hotter? Or would they benefit instead?We wanted to understand how trees in northern (or boreal) forests would respond to rising temperatures. We analyzed results from transplant experiments that took seeds from one area and planted them in areas with different climates. We found that where a tree is located within its geographical range determines how it will be affected: trees growing in the northern part of their range will likely benefit from rising temperatures and grow faster, but trees growing in the southern part of their range will likely grow more slowly. Keep in mind that factors other than just temperature changes also have to be considered to understand how forests will respond to climate change.","The growth response of trees to ongoing climate change has important implications for future forest dynamics, accurate carbon accounting, and sustainable forest management. We used data from black spruce (Picea mariana) and jack pine (Pinus banksiana) provenance trials, along with published data for three other northern conifers, to identify a consistent growth response to climate warming in which cold-origin populations are expected to benefit and warm-origin populations are expected to decline. Specifically, populations from across the geographic range of a species appear to grow well at temperatures characteristic of the southern portion of the range, indicating significant potential for a positive growth response to climate warming in cold-origin populations. Few studies have quantified and compared this pattern across multiple species using provenance data. We present a forest regeneration strategy that incorporates these anticipated growth responses to promote populations that are both local to the planting site and expected to grow well under climate change.",http://www.nature.com/articles/srep43881,Lower high school
Biodiversity-And-Conservation Articles; Biology Articles; Energy-And-Climate Articles,Evolution in action Are voles shrinking,"It is not easy being small. Especially when nature seems to causes, we separated genetic and environmental influences favor larger individuals. But why dont all animals evolve to on vole body size. be bigger? Is it sometimes better to be small? Or are some We found that young voles with genes for small bodies incapable of evolving? developed faster. This allowed them to survive better when To answer these questions, we studied a wild population of environmental conditions changed (earlier arrival of winter). snow voles (a small rodent species) in their alpine habitat. As a result, the population evolved towards a smaller body Genetic analysis indicated a hidden evolutionary change: size. Our study shows that populations can evolve rapidly. But voles evolved to become smaller but the average body size without a genetic perspective and understanding the underlying of population stayed the same. To understand the underlying causes, we may not be able to detect these changes.","In natural populations, quantitative trait dynamics often do not appear to follow evolutionary predictions. Despite abundant examples of natural selection acting on heritable traits, conclusive evidence for contemporary adaptive evolution remains rare for wild vertebrate populations, and phenotypic stasis seems to be the norm. This so-called stasis paradox highlights our inability to predict evolutionary change, which is especially concerning within the context of rapid anthropogenic environmental change. While the causes underlying the stasis paradox are hotly debated, comprehensive attempts aiming at a resolution are lacking. Here, we apply a quantitative genetic framework to individual-based long-term data for a wild rodent population and show that despite a positive association between body mass and fitness, there has been a genetic change towards lower body mass. The latter represents an adaptive response to viability selection favouring juveniles growing up to become relatively small adults, i.e., with a low potential adult mass, which presumably complete their development earlier. This selection is particularly strong towards the end of the snow-free season, and it has intensified in recent years, coinciding which a change in snowfall patterns. Importantly, neither the negative evolutionary change, nor the selective pressures that drive it, are apparent on the phenotypic level, where they are masked by phenotypic plasticity and a non causal (i.e., non genetic) positive association between body mass and fitness, respectively. Estimating selection at the genetic level enabled us to uncover adaptive evolution in action and to identify the corresponding phenotypic selective pressure. We thereby demonstrate that natural populations can show a rapid and adaptive evolutionary response to a novel selective pressure, and that explicitly (quantitative) genetic models are able to provide us with an understanding of the causes and consequences of selection that is superior to purely phenotypic estimates of selection and evolutionary change.",http://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1002592,Lower high school; Upper high school
